ADAL,ADA,in
ADAR,ADA,in
ADEL,ADE,se
ADER,ADE,se
ADFL,ADF,se
ADFR,ADF,se
ADLL,ADL,se
ADLR,ADL,se
AFDL,AFD,se
AFDR,AFD,se
AIAL,AIA,in
AIAR,AIA,in
AIBL,AIB,in
AIBR,AIB,in
AIML,AIM,in
AIMR,AIM,in
AINL,AIN,in
AINR,AIN,in
AIYL,AIY,in
AIYR,AIY,in
AIZL,AIZ,in
AIZR,AIZ,in
ALA,ALA,in
ALML,ALM,se
ALMR,ALM,se
ALNL,ALN,se
ALNR,ALN,se
AQR,AQR,se
AS01,AS,mo
AS02,AS,mo
AS03,AS,mo
AS04,AS,mo
AS05,AS,mo
AS06,AS,mo
AS07,AS,mo
AS08,AS,mo
AS09,AS,mo
AS10,AS,mo
AS11,AS,mo
ASEL,ASE,se
ASER,ASE,se
ASGL,ASG,se
ASGR,ASG,se
ASHL,ASH,se
ASHR,ASH,se
ASIL,ASI,se
ASIR,ASI,se
ASJL,ASJ,se
ASJR,ASJ,se
ASKL,ASK,se
ASKR,ASK,se
AUAL,AUA,se
AUAR,AUA,se
AVAL,AVA,in
AVAR,AVA,in
AVBL,AVB,in
AVBR,AVB,in
AVDL,AVD,in
AVDR,AVD,in
AVEL,AVE,in
AVER,AVE,in
AVFL,AVF,in/mo
AVFR,AVF,in/mo
AVG,AVG,in/se
AVHL,AVH,in
AVHR,AVH,in
AVJL,AVJ,in
AVJR,AVJ,in
AVKL,AVK,in
AVKR,AVK,in
AVL,AVL,mo/in
AVM,AVM,se
AWAL,AWA,se
AWAR,AWA,se
AWBL,AWB,se
AWBR,AWB,se
AWCL,AWC,se
AWCR,AWC,se
BAGL,BAG,se
BAGR,BAG,se
BDUL,BDU,in
BDUR,BDU,in
CANL,CAN,in
CANR,CAN,in
CEPDL,CEP,se
CEPDR,CEP,se
CEPVL,CEP,se
CEPVR,CEP,se
DA1,DA,mo
DA2,DA,mo
DA3,DA,mo
DA4,DA,mo
DA5,DA,mo
DA6,DA,mo
DA7,DA,mo
DA8,DA,mo
DA9,DA,mo
DB1,DB,mo
DB2,DB,mo
DB3,DB,mo
DB4,DB,mo
DB5,DB,mo
DB6,DB,mo
DB7,DB,mo
DD1,DD,mo
DD2,DD,mo
DD3,DD,mo
DD4,DD,mo
DD5,DD,mo
DD6,DD,mo
DVA,DVA,in
DVB,DVB,in/mo
DVC,DVC,in
FLPL,FLP,se
FLPR,FLP,se
HSNL,HSN,mo
HSNR,HSN,mo
I1L,I1,in
I1R,I1,in
I2L,I2,in
I2R,I2,in
I3,I3,in
I4,I4,in
I5,I5,in
I6,I6,in
IL1DL,IL1,se/mo
IL1DR,IL1,se/mo
IL1VL,IL1,se/mo
IL1VR,IL1,se/mo
IL1L,IL1,se/mo
IL1R,IL1,se/mo
IL2DL,IL2,se
IL2DR,IL2,se
IL2VL,IL2,se
IL2VR,IL2,se
IL2L,IL2,se
IL2R,IL2,se
LUAL,LUA,in
LUAR,LUA,in
M1,M1,mo
M2L,M2,mo
M2R,M2,mo
M3L,M3,mo/in
M3R,M3,mo/in
M4,M4,mo
M5,M5,mo
MCL,MC,in
MCR,MC,in
MI,MI,mo/in
NSML,NSM,mo
NSMR,NSM,mo
OLLL,OLL,se
OLLR,OLL,se
OLQDL,OLQ,se
OLQDR,OLQ,se
OLQVL,OLQ,se
OLQVR,OLQ,se
PDA,PDA,mo
PDB,PDB,mo
PDEL,PDE,se
PDER,PDE,se
PHAL,PHA,se
PHAR,PHA,se
PHBL,PHB,se
PHBR,PHB,se
PHCL,PHC,se
PHCR,PHC,se
PLML,PLM,se
PLMR,PLM,se
PLNL,PLN,se
PLNR,PLN,se
PQR,PQR,se
PVCL,PVC,in
PVCR,PVC,in
PVDL,PVD,in
PVDR,PVD,in
PVM,PVM,se/in
PVNL,PVN,in/mo
PVNR,PVN,in/mo
PVPL,PVP,in
PVPR,PVP,in
PVQL,PVQ,in
PVQR,PVQ,in
PVR,PVR,in/se
PVT,PVT,in
PVWL,PVW,in
PVWR,PVW,in
RIAL,RIA,in
RIAR,RIA,in
RIBL,RIB,in
RIBR,RIB,in
RICL,RIC,in
RICR,RIC,in
RID,RID,mo/in
RIFL,RIF,in
RIFR,RIF,in
RIGL,RIG,in
RIGR,RIG,in
RIH,RIH,in
RIML,RIM,mo
RIMR,RIM,mo
RIPL,RIP,in
RIPR,RIP,in
RIR,RIR,in
RIS,RIS,in
RIVL,RIV,in/mo
RIVR,RIV,in/mo
RMDDL,RMD,mo/in
RMDDR,RMD,mo/in
RMDL,RMD,mo/in
RMDR,RMD,mo/in
RMDVL,RMD,mo/in
RMDVR,RMD,mo/in
RMED,RME,mo
RMEV,RME,mo
RMEL,RME,mo
RMER,RME,mo
RMFL,RMF,mo/in
RMFR,RMF,mo/in
RMGL,RMG,mo/in
RMGR,RMG,mo/in
RMHL,RMH,mo/in
RMHR,RMH,mo/in
SAADL,SAA,in
SAADR,SAA,in
SAAVL,SAA,in
SAAVR,SAA,in
SABD,SAB,in
SABVL,SAB,in
SABVR,SAB,in
SDQL,SDQ,in
SDQR,SDQ,in
SIADL,SIA,in
SIADR,SIA,in
SIAVL,SIA,in
SIAVR,SIA,in
SIBDL,SIB,in
SIBDR,SIB,in
SIBVL,SIB,in
SIBVR,SIB,in
SMBDL,SMB,mo/in
SMBDR,SMB,mo/in
SMBVL,SMB,mo/in
SMBVR,SMB,mo/in
SMDDL,SMD,mo/in
SMDDR,SMD,mo/in
SMDVL,SMD,mo/in
SMDVR,SMD,mo/in
URADL,URA,mo/se
URADR,URA,mo/se
URAVL,URA,mo/se
URAVR,URA,mo/se
URBL,URB,in/se
URBR,URB,in/se
URXL,URX,se/in
URXR,URX,se/in
URYDL,URY,se
URYDR,URY,se
URYVL,URY,se
URYVR,URY,se
VA01,VA,mo
VA02,VA,mo
VA03,VA,mo
VA04,VA,mo
VA05,VA,mo
VA06,VA,mo
VA07,VA,mo
VA08,VA,mo
VA09,VA,mo
VA10,VA,mo
VA11,VA,mo
VA12,VA,mo
VB01,VB,mo
VB02,VB,mo
VB03,VB,mo
VB04,VB,mo
VB05,VB,mo
VB06,VB,mo
VB07,VB,mo
VB08,VB,mo
VB09,VB,mo
VB10,VB,mo
VB11,VB,mo
VC01,VC,mo
VC02,VC,mo
VC03,VC,mo
VC04,VC,mo
VC05,VC,mo
VC06,VC,mo
VD01,VD,mo
VD02,VD,mo
VD03,VD,mo
VD04,VD,mo
VD05,VD,mo
VD06,VD,mo
VD07,VD,mo
VD08,VD,mo
VD09,VD,mo
VD10,VD,mo
VD11,VD,mo
VD12,VD,mo
VD13,VD,mo